step,total_blocks,unique_blocks,variance,avg_replication,dedup_ratio,space_saved_ratio,active_nodes,failed_nodes
0,4,2,0.888888888888889,2.0,1.0,0.0,3,0
1,7,4,0.22222222222222224,1.75,1.0,0.0,3,0
2,8,5,1.0,1.6,1.2,0.16666666666666663,2,1
3,9,7,2.25,1.2857142857142858,1.1428571428571428,0.125,2,1
4,13,9,1.5555555555555554,1.4444444444444444,1.1111111111111112,0.09999999999999998,3,0
